id;organization_unit_id;name;description;status
1;20931;Administrator;wireless Leone AGP;2430
2;38055;Louisiana 4th generation;metrics;24710
3;26654;dynamic Chicken TCP;Tasty;93206
4;84264;Intelligent Granite Shirt Savings Account;Wisconsin;76459
5;51937;parsing;Borders;12480
6;40415;sky blue Fully-configurable;Sleek Soft Ball;567
7;68813;fuchsia Generic Granite Table;Concrete Brand;88346
8;2693;Home distributed;Universal Executive;61246
9;77756;South Dakota;infrastructures;64673
10;37663;capacity Awesome protocol;web-enabled schemas program;12217
