id;organization_unit_id;code;name;equipment_type_id;status;description;qrcode
1;50503;Swiss Franc monitor;purple;63341;24601;Group Savings Account indexing;Self-enabling Face to face SSL
2;34163;capacitor architectures complexity;payment reboot;38745;25301;Jordanian Dinar;Light
3;54561;Highway;drive Marketing Plain;71939;50054;Arizona open-source;Home Loan Account SDD
4;7905;local area network;Fantastic Granite Sausages Salad;62080;83042;Micronesia Ergonomic Plastic Table Pizza;Mouse Corporate
5;64580;protocol;Libyan Dinar wireless;18282;98727;Vatu;Cambridgeshire transition
6;43154;Internal supply-chains invoice;metrics National;95999;61178;support;grey navigate
7;65119;Administrator invoice Engineer;action-items;18073;22129;e-tailers Markets;Quality
8;24221;Car New York protocol;Electronics;62504;87523;SMTP;Security
9;89016;panel;system engine disintermediate synergies;42121;62312;Integration SMS;conglomeration reboot Gabon
10;1217;content Hong Kong Dollar;Auto Loan Account Chair;84182;12077;Beauty;Ball functionalities Money Market Account
