id;organization_unit_id;code;name;description;status
1;5195;mobile withdrawal Chief;leverage monitor;Directives;56659
2;46565;Industrial;system visionary;Hat Concrete;9380
3;68721;Cambridgeshire Guatemala neural;groupware deposit deposit;Personal Loan Account;86728
4;6201;interface Customer-focused;Mountain;interfaces cross-platform Gorgeous;5085
5;83375;Awesome Metal Cheese superstructure Table;Communications;Small Steel Car South Georgia and the South Sandwich Islands;94952
6;99809;Engineer moderator;Indiana Enterprise-wide Nicaragua;Future-proofed;72284
7;47326;Mobility Colorado Rwanda Franc;bypass morph;input teal;46049
8;36615;enhance strategize SAS;navigating secondary;solution-oriented sky blue;70469
9;54680;morph HDD recontextualize;Berkshire;Ball;7515
10;37557;composite;azure generate convergence;Tasty functionalities;54704
