id;organization_unit_id;date;posted_date;no;deliver;phone_contact;out_of_stock;recorded
1;12513;2020-05-26;2020-05-26;Personal Loan Account optimize;unleash actuating web-enabled;Functionality Shoes;true;false
2;48147;2020-05-26;2020-05-26;Designer deposit calculate;International hacking;portals brand target;true;true
3;25934;2020-05-26;2020-05-26;Avon Rubber invoice;back-end;Incredible object-oriented;true;true
4;70831;2020-05-26;2020-05-26;tertiary deposit Planner;enhance system;Barbados;true;false
5;70173;2020-05-26;2020-05-26;Metrics;invoice;Soft;false;false
6;7691;2020-05-26;2020-05-25;Parkways Credit Card Account synthesizing;Money Market Account Lead;Texas Officer;false;true
7;69388;2020-05-26;2020-05-26;program;throughput;Dynamic copy;true;true
8;96256;2020-05-25;2020-05-26;black Object-based;parse attitude-oriented;SCSI Computers leverage;true;true
9;28806;2020-05-26;2020-05-26;bandwidth;Unbranded card Peso Uruguayo Uruguay Peso en Unidades Indexadas;User-friendly;true;true
10;56691;2020-05-26;2020-05-26;solution olive;architect Electronics XSS;Principal;true;false
