id;prod_id;prod_name;quantity;unit;unit_price;amount
1;3435;violet withdrawal;54768;compressing Advanced;20820;85616
2;98625;knowledge user Syrian Arab Republic;6713;Infrastructure Cotton transform;42656;92576
3;87253;revolutionary California IB;92188;Buckinghamshire killer;84166;26497
4;19226;cross-platform Salad;22336;Concrete 1080p;17240;61200
5;31749;Steel relationships;19671;mission-critical;168;71002
6;58317;navigate hybrid reinvent;41547;multi-tasking;59861;79225
7;87067;discrete;45074;withdrawal;23002;71299
8;80444;Glen Mouse Fantastic Wooden Pizza;94182;Crossroad;53448;60509
9;72477;Port deposit;22860;Legacy bandwidth Forward;48888;63072
10;68572;seize Cambridgeshire Cotton;73504;multi-byte Manager partnerships;69409;77006
