id;organization_unit_id;code;name;medical_supplies_type_id;description;status
1;5239;Investment Account;port markets Avon;57061;Computers New Hampshire;22142
2;67976;monitor;deposit Soft Towels;26986;Borders;28921
3;57185;algorithm;deposit Gorgeous Associate;36181;Fantastic Soft Computer;77528
4;16046;rich copying;context-sensitive Operations mobile;94407;Indian Rupee;33957
5;71384;Secured Rustic Steel Hat;Run;73071;parsing Euro Neck;70036
6;73414;HDD overriding white;Concrete invoice;44844;deposit New Hampshire;60389
7;58526;Home Loan Account cohesive payment;Buckinghamshire Accountability;74206;quantifying;6232
8;16126;matrices;Checking Account protocol;14896;mobile Corporate;94099
9;432;Vision-oriented;Malaysia Christmas Island Intelligent Wooden Shoes;20988;Director enhance;25318
10;57426;Small Plastic Towels Tenge Sleek Rubber Computer;Brand PCI Home;27181;connect program;94188
