id;organization_unit_id;code;name;description;status
1;97982;Automotive magnetic;Pennsylvania EXE;Checking Account;9498
2;2845;partnerships violet capacitor;solid state Borders;sky blue synthesize;45367
3;10099;Square Open-source;Agent generate;Legacy Ford;15178
4;85004;Awesome Steel Soap SMTP;Fresh;system Car;6584
5;1037;Marshall Islands South Georgia and the South Sandwich Islands infrastructures;revolutionize Concrete parse;Ethiopian Birr;47384
6;10805;ivory;regional redundant Function-based;Functionality intuitive;4040
7;23607;Euro deposit Buckinghamshire;Oklahoma world-class Balboa US Dollar;Credit Card Account Web human-resource;86422
8;87761;Infrastructure fuchsia;Electronics reboot;applications Enterprise-wide Down-sized;76847
9;44833;South Carolina indexing overriding;neural;generating Fantastic Soft Pizza invoice;83043
10;31982;Handmade Steel Bike;Computers convergence iterate;transmitting SQL;39472
