id;organization_unit_id;user_id;description;proposed_date;validation_date;finish_date;status
1;74287;46551;Bedfordshire;2020-06-30;2020-06-29;2020-06-29;88256
2;33809;46888;Cotton;2020-06-30;2020-06-30;2020-06-30;12330
3;87467;87894;networks Berkshire;2020-06-29;2020-06-30;2020-06-29;18925
4;64501;13050;calculating bottom-line override;2020-06-29;2020-06-30;2020-06-30;31149
5;33707;20098;Handcrafted;2020-06-30;2020-06-30;2020-06-30;99776
6;42708;83768;Practical Frozen Mouse Computers Australia;2020-06-30;2020-06-30;2020-06-29;50972
7;83186;99320;Hawaii;2020-06-30;2020-06-30;2020-06-30;43770
8;41687;80620;Licensed matrix;2020-06-30;2020-06-30;2020-06-29;48706
9;77042;87747;Ergonomic Plastic Salad violet index;2020-06-29;2020-06-30;2020-06-30;65645
10;72274;49290;Boliviano Mvdol;2020-06-30;2020-06-29;2020-06-30;70050
