id;prod_id;serial;description;status;user_id;time;organization_unit_id;prod_name
1;41479;Leone compelling;SCSI Auto Loan Account Plastic;20130;15712;2020-06-25;40949;Wisconsin
2;93813;user-centric;parse red;20729;14221;2020-06-24;15244;Intelligent Plastic Shoes Cheese
3;28152;Parkway Dynamic transmitter;Horizontal;47429;98511;2020-06-25;32001;B2C Auto Loan Account
4;87477;leading-edge;Facilitator firewall flexibility;60790;18127;2020-06-24;69749;Points index
5;58073;Tasty Granite Chips visionary;cross-platform;43702;27661;2020-06-25;11709;green
6;13244;cross-platform;port Awesome Fresh Hat Kids;94945;27694;2020-06-24;3946;Tunisian Dinar RSS Central
7;20316;Practical Credit Card Account;methodical Intelligent Kids;20517;62225;2020-06-25;74607;XML payment world-class
8;71269;Persevering;Awesome microchip;86401;48504;2020-06-25;1562;South Dakota copying
9;62587;system-worthy turquoise Fantastic;system green ivory;63210;95108;2020-06-25;82889;Human Checking Account Checking Account
10;36063;Oval Bedfordshire;real-time Yen;80330;37128;2020-06-25;65123;Personal Loan Account Steel
