id;organization_unit_id;ref_id;detail_id;date;posted_date;no;deliver;phone_contact;quantity;unit;unit_price;amount;out_of_stock
1;13425;32240;59769;2020-05-25;2020-05-25;client-server;adapter transmitter haptic;fuchsia applications Music;84488;Field teal 5th generation;9154;68276;true
2;12247;83996;20590;2020-05-26;2020-05-26;Bhutan;compressing SDD;Configuration;4185;Dominica morph;65146;280;false
3;4023;63952;20187;2020-05-25;2020-05-26;homogeneous;Configurable program;Pataca;61152;extend;70408;42216;true
4;43918;53907;46730;2020-05-26;2020-05-26;Vista open-source;CSS;deposit purple extensible;23721;adapter;55557;77082;false
5;50018;120;9357;2020-05-26;2020-05-26;Games Connecticut;1080p Refined Fresh Sausages;Mission;74654;Montana innovate payment;77261;3965;false
6;17836;43556;5974;2020-05-26;2020-05-26;Bacon;Philippines Neck Washington;deposit synthesize;40496;withdrawal Saint Helena Pound;13844;39499;false
7;51702;61385;80070;2020-05-26;2020-05-26;extensible application;Planner Applications Iowa;Syrian Arab Republic Enterprise-wide;31337;Generic Granite Cheese;74429;47274;false
8;33209;7979;71276;2020-05-26;2020-05-26;withdrawal uniform Buckinghamshire;lime;Soft Specialist;14666;back up homogeneous metrics;38904;16174;false
9;91849;27064;27812;2020-05-26;2020-05-26;program Turkish Lira;Metal;repurpose streamline Plastic;26278;Zambian Kwacha payment Gloves;96660;74759;true
10;67602;91874;82539;2020-05-26;2020-05-26;Investment Account Curve;holistic lime Down-sized;Pennsylvania Burg Keyboard;49099;payment Chief Incredible Concrete Mouse;28548;84519;true
