id;request_receive_device_id;serial;prod_id;prod_name;quantity;unit;unit_price;amount;repository_id;lot_no;expiry_date
1;39782;Up-sized;9057;synthesizing matrix Forward;27826;Sao Tome and Principe;11616;22021;17259;Ouguiya Health Liaison;2020-06-17
2;5625;Bouvet Island (Bouvetoya) cross-platform;35707;AGP;87927;functionalities;99094;52138;68106;Shoes Movies sexy;2020-06-16
3;42082;connecting deposit;5135;Money Market Account Technician European Unit of Account 17(E.U.A.-17);55998;Bridge;78418;17232;20953;lavender;2020-06-17
4;60091;Fully-configurable Officer solutions;39848;Enterprise-wide maximize Credit Card Account;14804;interfaces Legacy;22487;12257;60084;4th generation;2020-06-17
5;35425;Human;47676;maroon;52104;Markets New York;83456;52017;72093;Borders protocol Shoes;2020-06-17
6;5819;Home Loan Account;36629;Optimized artificial intelligence;84709;Branding system;19840;77125;1402;Tuna parsing Bedfordshire;2020-06-17
7;80304;infomediaries Louisiana indigo;26879;cohesive payment Gorgeous Fresh Soap;13971;invoice;63925;90336;53400;leverage Small Cotton Table Zimbabwe;2020-06-17
8;76043;leading-edge blue;77057;Pennsylvania Buckinghamshire Web;79010;auxiliary invoice out-of-the-box;13026;14067;62016;Cotton Outdoors Synergistic;2020-06-17
9;29226;purple;8809;Tuvalu;41495;parse Berkshire;79945;88850;43548;Savings Account primary;2020-06-17
10;550;object-oriented;99134;Shoes Vatu;24688;fuchsia purple;77482;16214;75374;Locks wireless;2020-06-17
