id;name;value;equipment_id;time;serial;user_id
1;Handmade incubate;systems;30609;2020-06-21;matrix;56417
2;interactive;generating;41289;2020-06-21;deposit generate;11072
3;mindshare matrix;input;80572;2020-06-22;COM Berkshire;88603
4;Auto Loan Account Keyboard Graphic Interface;index;93931;2020-06-21;intuitive scalable;59024
5;background;Plastic Gorgeous XML;1487;2020-06-21;Liaison visualize;53533
6;Granite overriding Handcrafted;Table;95561;2020-06-22;Representative focus group transmit;40970
7;Idaho Executive Michigan;Music Fish olive;62619;2020-06-22;Synchronised;49010
8;driver one-to-one Health;Awesome visualize Squares;53470;2020-06-22;primary;31925
9;Small Wooden Salad Associate COM;quantify projection vortals;4032;2020-06-21;Concrete Computer Checking Account;59889
10;Gorgeous Plastic Computer;Rubber;77061;2020-06-22;Robust synthesize;46460
